REF_ID,author,year,journal,pages,DOI,reference
Gunadi_2002_pedo_p15-23,Gunadi,2002,pedo,p15-23,10.1078/0031-4056-00109,"Gunadi, B., C. Blount, and C. A. Edwards. 2002. The growth and fecundity of Eisenia fetida (Savigny) in cattle solids pre-composted for different periods. Pedobiologia 46:15-23."
Gunadi_2003_ejsb_p19-24,Gunadi,2003,ejsb,p19-24,10.1016/s1164-5563(02)00005-5,"Gunadi, B., C. A. Edwards, and C. Blount. 2003. The influence of different moisture levels on the growth, fecundity and survival of Eisenia fetida (Savigny) in cattle and pig manure solids. European Journal of Soil Biology 39:19-24."
Gunadi_2003_pedo_p321-329,Gunadi,2003,pedo,p321-329,10.1078/0031-4056-00196,"Gunadi, B. and C. A. Edwards. 2003. The effects of multiple applications of different organic wastes on the growth, fecundity and survival of Eisenia fetida (Savigny) (Lumbricidae). Pedobiologia 47:321-329."
Hallat_1992_sbb_p1333-1340,Hallat,1992,sbb,p1333-1340,10.1016/0038-0717(92)90114-d,"Hallatt, L., S. A. Viljoen, and A. J. Reinecke. 1992. Moisture requirements in the life cycle of Perionyx excavatus (Oligochaeta). Soil Biology & Biochemistry 24:1333-1340."
Hamoui_1991_rebs_p469-478,Hamoui,1991,rebs,p469-478,na,"Hamoui, V. 1991. Life-cycle and growth of Pontoscolex corethrurus (Müller, 1857) (Oligochaeta, Glossoscolecidae) in the laboratory. Revue d'écologie et de biologie du sol 1991:469-478."
Helling_2000_ees_p108-116,Helling,2000,ees,p108-116,10.1006/eesa.1999.1880,"Helling, B., S. A. Reinecke, and A. J. Reinecke. 2000. Effects of the Fungicide Copper Oxychloride on the Growth and Reproduction of Eisenia fetida (Oligochaeta). Ecotoxicology and Environmental Safety 46:108-116."
Jesikha_2013_ijsrp_p1-4,Jesikha,2013,ijsrp,p1-4,na,"Jeshika, M. and M. Lekeshmanaswamy. 2013. Effect of Pongamia Leaf Medium on Growth of Earthworm (Eudrilus eugeniae). International Journal of Scientific and Research Publications 3:1-4."
Kaplan_1980_sbb_p347-352,Kaplan,1980,sbb,p347-352,10.1016/0038-0717(80)90008-5,"Kaplan, D. L., R. Hartenstein, E. F. Neuhauser, and M. R. Malecki. 1980. Physicochemical requirements in the environment of the earthworm Eisenia foetida. Soil Biology & Biochemistry 12:347-352."
Karmegam_2009_bt_p4790-4796,Karmegam,2009,bt,p4790-4796,10.1016/j.biortech.2009.05.004,"Karmegam, N. and T. Daniel. 2009. Growth, reproductive biology and life cycle of the vermicomposting earthworm, Perionyx ceylanensis Mich. (Oligochaeta: Megascolecidae). Bioresource Technology 100:4790-4796."
Kaushal_1992_bfs_p205-212,Kaushal,1992,bfs,p205-212,10.1007/bf00346062,"Kaushal, B. R. and S. P. S. Bisht. 1992. Growth and cocoon production of Drawidia nepalensis (Oligochaeta). Biology and Fertility of Soils 14:205-212."
Kaushal_1995_pedo_p417-422,Kaushal,1995,pedo,p417-422,na,"Kaushal, B. R., S. Kalia, and S. P. S. Bisht. 1995. Growth and cocoon production by the earthworm Drawida nepalensis (Oligochaeta: Moniligastridae) in oak and pine litter. Pedobiologia 39:417-422."
Kaushal_1999_bfs_p394-400,Kaushal,1999,bfs,p394-400,10.1007/s003740050570,"Kaushal, B. R. and B. Kandpal. 1999. Growth and cocoon production by the earthworm Metaphire houletti (Oligochaeta) in different food sources. Biology and Fertility of Soils 29:394-400."
Klok_1997_sbb_p287-293,Klok,1997,sbb,p287-293,10.1016/s0038-0717(96)00050-8,"Klok, C., A. M. de Roos, J. C. Y. Marinissen, H. M. Baveco, and W.-C. Ma. 1997. Assessing the effects of abiotic environmental stress on population growth in Lumbricus rubellus (lubricidae, oligochaeta). Soil Biology & Biochemistry 29:287-293."
Klok_2007_bfs_p549-556,Klok,2007,bfs,p549-556,10.1007/s00374-006-0135-0,"Klok, C., J. Faber, G. Heijmans, J. Bodt, and A. Van der Hout. 2007. Influence of clay content and acidity of soil on development of the earthworm Lumbricus rubellus and its population level consequences. Biology and Fertility of Soils 43:549-556."
Klok_2007_sbb_p2401-2407,Klok,2007,sbb,p2401-2407,10.1016/j.soilbio.2007.04.016,"Klok, C. 2007. Effects of earthworm density on growth, development, and reproduction in Lumbricus rubellus (Hoffm.) and possible consequences for the intrinsic rate of population increase. Soil Biology & Biochemistry 39:2401-2407."
Kostecka_2001_ejsb_p255-258,Kostecka,2001,ejsb,p255-258,10.1016/s1164-5563(01)01093-7,"Kostecka, J. and K. R. Butt. 2001. Ecology of the earthworm Allolobophora carpathica in field and laboratory studies. European Journal of Soil Biology 37:255-258."
Lavelle_1978_PhD_p301,Lavelle,1978,PhD,p301,na,"Lavelle, P. 1978. Les vers de terre de la savane de Lamto (Côte d'Ivoire). Peuplements, populations et fonctions dans l'écosystème. Paris 6."
Lofs.Holmin_1982_sjar_p31-37,Lofs.Holmin,1982,sjar,p31-37,na,"Lofs-Holmin, A. 1982. Reproduction and Growth of Common Arable Land and Pasture Species of Earthworms (Lumbricidae) in Laboratory Cultures. Swedish Journal of Agricultural Research 13:31-37."
Lofs.Holmin_1980_sjar_p25-33,Lofs.Holmin,1980,sjar,p25-33,na,"Lofs-Holmin, A. 1980. Measuring Growth of Earthworms as a Method of Testing Sublethal Toxicity of Pesticides. Swedish Journal of Agricultural Research 10:25-33."
Lowe_1999_pedo_p808-817,Lowe,1999,pedo,p808-817,na,"Lowe, C. N. and K. R. Butt. 1999. Interspecific interactions between earthworms: A laboratory-based investigation. Pedobiologia 43:808-817."
Lowe_2002_bfs_p204-209,Lowe,2002,bfs,p204-209,10.1007/s00374-002-0471-7,"Lowe, C. N. and K. R. Butt. 2002. Growth of hatchling earthworms in the presence of adults: interactions in laboratory culture. Biology and Fertility of Soils 35:204-209."
Lowe_2002_ejsb_p173-176,Lowe,2002,ejsb,p173-176,10.1016/s1164-5563(02)01141-x,"Lowe, C. N. and K. R. Butt. 2002. Influence of organic matter on earthworm production and behaviour: a laboratory-based approach with applications for soil restoration. European Journal of Soil Biology 38:173-176."
Lowe_2003_pedo_p574-577,Lowe,2003,pedo,p574-577,10.1078/0031-4056-00231,"Lowe, C. N. and C. M. Bull. 2003. Influence of food particle size on inter- and intra-specific interactions of Allolobophora chlorotica (Savigny) and Lumbricus terrestris. Pedobiologia 47:574-577."
Lowe_2007_bfs_p495-499,Lowe,2007,bfs,p495-499,10.1007/s00374-006-0154-x,"Lowe, C. and K. Butt. 2007. Life-cycle traits of the dimorphic earthworm species Allolobophora chlorotica (Savigny, 1826) under controlled laboratory conditions. Biology and Fertility of Soils 43:495-499."
Lowe_2008_ejsb_p541-544,Lowe,2008,ejsb,p541-544,10.1016/j.ejsobi.2008.08.002,"Lowe, C. N. and K. R. Butt. 2008. Life cycle traits of the parthenogenetic earthworm Octolasion cyaneum (Savigny, 1826). European Journal of Soil Biology 44:541-544."
Maboeta_1999_bfs_p113-116,Maboeta,1999,bfs,p113-116,10.1007/s003740050596,"Maboeta, M. S., A. J. Reinecke, and S. A. Reinecke. 1999. The effects of low lead levels on the growth and reproduction of the African earthworm Eudrilus eugeniae (Oligochaeta). Biology and Fertility of Soils 30:113-116."
Maboeta_1999_ees_p236-240,Maboeta,1999,ees,p236-240,10.1006/eesa.1999.1797,"Maboeta, M. S., A. J. Reinecke, and S. A. Reinecke. 1999. Effects of Low Levels of Lead on Growth and Reproduction of the Asian Earthworm Perionyx excavatus (Oligochaeta). Ecotoxicology and Environmental Safety 44:236-240."
Manaf_2009_ijb_p81-91,Manaf,2009,ijb,p81-91,10.5539/ijb.v1n1p81,"Manaf, L. A., M. L. C. Jusoh, M. K. Yusoff, T. H. T. Ismail, R. Harun, and H. Juahir. 2009. Influences of Bedding Material in Vermicomposting Process. International JOurnal of Biology 1:81-91."
Mccredie_1992_bfs_p285-289,Mccredie,1992,bfs,p285-289,10.1007/bf00336045,"McCredie, T. A., C. A. Parker, and I. Abbott. 1992. Population dynamics of the earthworm Aporrectodea trapezoides (Annelida: Lumbricidae) in a Western Australian pasture soil. Biology and Fertility of Soils 12:285-289."
Michon_1954_PhD_p192,Michon,1954,PhD,p192,na,"Michon, J. 1954. Contribution expérimentale à l'étude de la Biologie des Lumbricidae. Les variations pondérales au cours des différentes modalités du développement postembryonnaire. Faculté des sciences de Poitiers, Poitiers."
Monroy_2007_crass_p389-391,Monroy,2007,crass,p389-391,10.1016/j.crvi.2007.03.016,"Monroy, F., M. Aira, J. A. Gago, and J. Dominguez. 2007. Life cycle of the earthworm Octodrilus complanatus (Oligochaeta, Lumbricidae). Comptes Rendus Biologies 330:389-391."
Mulder_2007_age_p229-231,Mulder,2007,age,p229-231,10.1007/s11357-007-9037-9,"Mulder, C., R. Baerselman, and L. Posthuma. 2007. Empirical maximum lifespan of earthworms is twice that of mice. AGE 29:229-231."
Munoz.Pedreros_1997_rchn_p101-108,Munoz.Pedreros,1997,rchn,p101-108,na,"Muñoz-Pedreros, A., E. Ruiz, C. Poblete, and M. Santelices. 1997. Aspectos de la biología reproductiva de lumbrícidos silvestres (O ligochaeta: Lumbricidae) en el sur de Chile. Revista Chilena de Historia Natural 70:101-108."
Muthukaruppan_2005_jss_p82-86,Muthukaruppan,2005,jss,p82-86,10.1065/jss2004.09.111,"Muthukaruppan, G., S. Janardhanan, and G. Vijayalakshmi. 2005. Sublethal Toxicity of the Herbicide Butachlor on the Earthworm Perionyx sansibaricus and its Histological Changes (5 pp). Journal of Soils and Sediments 5:82-86."
Muyima_1994_sbb_p973-976,Muyima,1994,sbb,p973-976,10.1016/0038-0717(94)90111-2,"Muyima, N. Y. O., A. J. Reinecke, and S. A. Viljoen-Reinecke. 1994. Moisture requirements of Dendrobaena veneta (oligochaeta), a candidate for vermicomposting. Soil Biology & Biochemistry 26:973-976."
Nair_1998_jae_p459-466,Nair,1998,jae,p459-466,10.1006/jare.1998.0441,"Nair, G. A. and S. A. Bennour. 1998. Cocoons and hatchlings of Aporrectodea caliginosa (Savigny 1826) (Oligochaeta: Lumbricidae) in Benghazi, Libya. Journal of Arid Environments 40:459-466."
